title,job_url
"<li title=Thiruvananthapuram (Kerala)><i class=material-icons>location_on</i>
	        Thiruvananthapuram (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-7-yrs-jobid-SqN__PLUS__soI0QtJzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-perfios-software-bengaluru-bangalore-5-to-8-yrs-jobid-5GGtzEeKMXxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Noida/ Greater Noida (Uttar Pradesh)><i class=material-icons>location_on</i>
	        Noida/ Greater Noida (Uttar Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
"<li title=Pune (Maharashtra)><i class=material-icons>location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-interns-3ri-technologies-pvt-ltd-pune-5-to-8-yrs-jobid-cfLZrmnuzxxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
"<li title=Noida/ Greater Noida (Uttar Pradesh)><i class=material-icons>location_on</i>
	        Noida/ Greater Noida (Uttar Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
"<li title=Pune (Maharashtra)><i class=material-icons>location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
"<li title=Mohali (Punjab), Chandigarh (Punjab)><i class=material-icons>location_on</i>
	        Mohali (Punjab), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Gandhinagar (Gujarat)><i class=material-icons>location_on</i>
	        Gandhinagar (Gujarat)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gandhinagar-2-to-4-yrs-jobid-t8Ti7DllljpzpSvf__PLUS__uAgZw==&source=srp
"<li title=Gurgaon (Haryana), Chandigarh (Punjab)><i class=material-icons>location_on</i>
	        Gurgaon (Haryana), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
"<li title=Kolkata (West Bengal)><i class=material-icons>location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-innova-unified-management-services-pvt-ltd-kolkata-1-to-3-yrs-jobid-Tno__SLASH__eg3ugWFzpSvf__PLUS__uAgZw==&source=srp
"<li title=Kolkata (West Bengal)><i class=material-icons>location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-big4-bengaluru-bangalore-delhi-7-to-10-yrs-jobid-ud18h6v8DiVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Chennai (Tamil Nadu)><i class=material-icons>location_on</i>
	        Chennai (Tamil Nadu)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Vijayawada (Andhra Pradesh), Visakhapatnam (Andhra Pradesh)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Vijayawada (Andhra Pradesh), Visakhapatnam (Andhra Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-faculty-learntek-bengaluru-bangalore-chennai-hyderabad-secunderabad-vijayawada-visakhapatnam-2-to-7-yrs-jobid-K4__PLUS__N8nfOlV5zpSvf__PLUS__uAgZw==&source=srp
title,job_url
"<li title=Cochin/ Kochi/ Ernakulam (Kerala), Thiruvananthapuram (Kerala), Thrissur (Kerala)><i class=material-icons>location_on</i>
	        Cochin/ Kochi/ Ernakulam (Kerala), Thiruvananthapuram (Kerala), Thrissur (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-radical-tecnologies-cochin-kochi-ernakulam-thiruvananthapuram-thrissur-7-to-12-yrs-jobid-bUxdpY7jo5dzpSvf__PLUS__uAgZw==&source=srp
"<li title=Mumbai (Maharashtra)><i class=material-icons>location_on</i>
	        Mumbai (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
"<li title=Ahmedabad (Gujarat)><i class=material-icons>location_on</i>
	        Ahmedabad (Gujarat)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-dealscorner-ahmedabad-1-to-4-yrs-jobid-zwS7bOT__PLUS__nKxzpSvf__PLUS__uAgZw==&source=srp
